release_date,CGN,brief_description,detailed_description,executor_type,executor_name,price_currency,customer_name,customer_type,bidding_agent
2023-03-22,CGN-20221229001,"PMC-коммутатор работает над проектом интеллектуальных устройств
Циркуляр результатов",Утилизированное устройство для проведения экзаменов на использование PMC для выявления участников проекта,Разработчик,Channel Цифровые технологии,RMB,Чайна атомная электроника,Заявители,Чайна инжиниринг лимитед
2023-06-28,CGN-20230508001,Результаты испытаний на водяное давление LOT120Q SG группы LF 5 и 6,Устройство для испытания на водяном давлении на блоке LOT120Q SG проекта 5 и 6,Теги,Восточная электроэнергетика (Шэньчжэнь),RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-05-11,CGN-20230227007,В 2023 году в рамках проекта «Чайцзы-Гунзити» и «Люнь» были объявлены результаты,В 2023 году в Китае и Китае будет осуществляться проект по сборке новых источников энергии - Гуансигилон и Леннон,Ведущий,Шэньчжэнь,CNY,Чинбэйз лимитед,Заявители,Чайна инжиниринг лимитед
2023-05-10,CGN-202302280006,Закупка 490 МВт комбинированного энергопроекта в Гизилу,"Закупка 490 МВт комбинированного энергопроекта (пункт 1)
202302280006), в рамках проекта были определены следующие участники:",Партнеры,Кэрлин текнолоджи,CNY,Белая энергетика,Покупатель,Чайна инжиниринг лимитед
2023-07-06,CGN-20230505002,В рамках проекта «Новый энергетический кухня» (N58-N109) выставлена информация о результатах работы по проектированию маршрутов,В рамках этого проекта по выпуску новых энергетических кухонных блоков и апельсинов (N58-N109) будет осуществляться проект по выходу из строя (заказ No CGN-CGN-N109).,Партнеры,Юньнаньская башня Электростроительная компания,CNY,China 's Remote,Участник,Чайна инжиниринг лимитед
2023-04-18,CGN-20230216005,"1200 МВт для проекта по гидроэнергетике в Хисаси, Китай",1200 МВт для проекта по аккумулированию энергии в Хисаси,Китай,Китайская энергетическая корпорация Гуанси Гэнси,¥,China's New Energy Toyota,Участник,Чайна инжиниринг лимитед
2023-05-15,CGN-20230320002,Результаты в центробежном насосе LOT134Ga,Набор центробежных насосов класса LOT134Ga в рамках проекта SK,Производитель,Zong Kong Co.,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-05-16,CGN-20230320002,В 2023 году была произведена совместная закупка оборудования для смены коробок (второй пункт: изменение регионального ящика в Чунцине),Совместимая закупка оборудования для замены коробок в 2023 году (второй пункт: изменение регионального ящика в Чунцине),Производитель,China Electric Company,CNY,China and China New Energy Shong Co.,Участники торгов,Чайна инжиниринг лимитед
2023-05-15,CGN-20230320002,Результаты в центробежном насосе LOT134Ga,Набор центробежных насосов класса LOT134Ga в рамках проекта SK,Производитель,Zong Kong Co.,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-05-16,CGN-20230320002,В 2023 году была произведена совместная закупка оборудования для смены коробок (второй пункт: изменение регионального ящика в Чунцине),Совместимая закупка оборудования для замены коробок в 2023 году (второй пункт: изменение регионального ящика в Чунцине),Производитель,China Electric Company,CNY,China and China New Energy Shong Co.,Участники торгов,Чайна инжиниринг лимитед
2023-08-01,CGN-202303020004-N1,Аналитические приборы и оборудование для предварительной обработки образцов на передней станции АЭС Красная река,Закупка неаналитических приборов и оборудования для предварительной обработки образцов на передней станции атомных электростанций (второе предложение),Наименование проекта,Китай и Китай (Пекин),RMB,Ляонин Красный Поток,Покупатель,Чайна инжиниринг лимитед
2023-07-21,CGN-202305310006,220 кВ на базе в Гизи,220 кВ,Провинция,Гирин,CNY,Белая энергетика,Участники торгов,Чайна инжиниринг лимитед
2023-07-27,CGN-202306140012,"55 МВт ветряная дорога, платформа, ветряная база и коробка
Результаты","55 МВт ветряные дороги, платформы, ветряная база и коробка (проект конкурса)",Инжиниринг,Гуанси Юнчэн,¥,Qualcomm Power,Участник,Чайна инжиниринг лимитед
2023-05-31,CGN-20230407006,Устройства для мониторинга концентраций водорода в защищенной оболочке корпуса LOT101T Сухопутный проект 5,Устройство для мониторинга концентраций водорода в защищенной коре LOT101T,Информация о кандидатах,Китайский институт судовых компаний 718,CNY,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-08-01,CGN-202305150004,Проект по закупке экспериментального оборудования,"В этом экспериментальном устройстве проводится детальная съемочная работа по закупке услуг для определения того, кто будет выбран в качестве участника проекта.",Инспекции,Китайская топографическая компания,RMB,Китайская академия ядерных исследований,Приглашение,Чайна инжиниринг лимитед
2023-07-18,CGN-20230529006,"В 2023 году была произведена вторая совместная закупка наружного оборудования высокого давления (пункт 1: Оборудование в Гуанси)
плодов",В 2023 году была произведена вторая совместная закупка оборудования наружного давления (пункт 1: Оборудование в Гуанси),Партнеры,Ханане,¥,"Южно-Ветроэнергетическая компания, Гонконг, Китай",Участники торгов,Чайна инжиниринг лимитед
2023-08-24,CGN-202307050017,"Четверо пунктов генерального подряда на проект PC в 1 млн кВт-диапазоне на базе экологически чистой энергии в Синьцзяне
Результаты","Четвертого сегмента проекта генерального контракта PC на 1 млн. кВт в районе Лоупо, на базе экологически чистой энергетики в Синьцзяне",Производитель,China Construction Group,CNY,China Solar Successor,Участник,Чайна инжиниринг лимитед
2023-09-08,CGN-20230718002,Информация о результатах деятельности по мониторингу водного хозяйства в рамках проекта CS,Сервис по мониторингу водной среды в рамках проекта CS,Контролер,Юнайтед инжиниринг,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-05-06,CGN-20230206001,Результаты проекта SK LOT4,В данном проекте SK LOT4 (Категория воздушных напряжений) (номер тендера: CGN-20230206001) были определены следующие участники проекта,Контейнер без олова,юбилейный муравьи,CNY,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-06-16,CGN-20230420004,Проект AD и проект CS LOT134Aa и водяные насосы для свалок,Данный проект AD и проект CS LOT134Aa и водяные насосы для массовых захоронений,Производитель,Zong Kong Co.,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-05-25,CGN-20230315002,"Научно-исследовательский проект по инновационным методам борьбы с ошибками
Циркуляр результатов",Инновационные методы контроля реакции на атомную электростанцию (номер тендера: CGN-20230315002) для определения этого подпункта,Название проекта,Sian Energy Technologies,RMB,Чайна атомная электроника,Заявители,Чайна инжиниринг лимитед
2023-08-23,CGN-202307040025,"Закупка наружного оборудования GIS на базе Синьцзян-2023 (первый пункт: проект ветроэнергетики)
Результаты",Закупка оборудования GIS на открытом воздухе для проекта Синьцзян-2023 (первый пункт: проект ветроэнергетики),Информация о кандидатах,Santone Tencent,¥,China and China New Energy Sound,Участники торгов,Чайна инжиниринг лимитед
2023-04-13,CGN-202301170010,Обнародование результатов поставки одного инженерного оборудования для очистки сточных вод в Тяньцзине,Поставка оборудования для обработки сточных вод в рамках проекта Бентампинг (запрос No CGN-202301170010) для определения проекта,Покупатель,Zhong Rehabilitation,CNY,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-01-31,CGN-20220927006,"50 МВт проект по строительству фотоэлектрической зоны, электрической линии
Результаты установки","50 МВт фотоэлектрической зоны в рамках проекта 50 МВт, строительный проект по строительству электрического плацдарма (приемка)",Информация о кандидатах,China Energy Building Group Юньнань Электростроительная компания,¥,China 's Remote,Участник,Чайна инжиниринг лимитед
2023-07-18,CGN-20230406003,34-я дивизия 34-я дивизия 34-я дивизия 100 МВт закупка фотоэлектрических постов в первом абзаце,34-я дивизия Синьцзян-Китайского Синьцзянского Синьцзянского Синьцзянского Синьцзянского Синьцзянского Синьцзянского Синьцзянского Синьцзянского Синьцзян-Китайского Синьцзянского Синьцзянского Синьцзянского Синьцзянского Синьцзян-Китайского Синьцзяонского Синьцзян-Китайского Синьцзянского Синьцзянского Синьцзянского Синьцзянского Синьцзянского Синьцзянского Синьцзянского Синьцзяоцзянского Синьцзяоцзян-цзян-цзянского Синьцзянского Синьцзянского Синьцзян-цзян-цзянъюаньского Синьцзян-цзян-цзянского Синьцзян-цзян-цзяоцзян-цзян-цзян-цзян-цзян-цзян-цзян-цзян-цзян-цзян-цзян-цзян-цзян-цзян-цзян-цзян-цз,Производитель,Jiang Song Mountain,CNY,China and China New Energy Trucks,Покупатель,Чайна инжиниринг лимитед
2023-08-09,CGN-20230410001,Результаты мониторинга водного хозяйства в рамках проекта CW 1,Наблюдение за мониторингом водного хозяйства в рамках проекта CW I (номер тендера: CGN-20230410001) для определения промежуточного значения проекта,Разработчик,China 's Environmental Technology Ltd.,CNY,Саенто,Приобретатель,Чайна инжиниринг лимитед
2023-02-01,CGN-202210240007,Результаты фильтрации барабанной сети LOT7A,Бен-Ганси BT проект LOT7A,Производитель,Jianzsu Electric Company,"29 773 310,00",Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-02-28,CGN-202211220002,"35kV SVG 35kV
Проект Компьютерные устройства","35kV SVG, динамический пакет компенсационной компенсации в рамках проекта Морская ветряная энергетика, 2-й центр управления морской ветровой электроэнергией, Бенефициа",Разработчик,Electronics,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-02-22,CGN-202212120001,75 MW300 MWh хранится в тайге с 300 МВт ветряной установкой (пункт 1),75 MW300MWh хранится в Бента-Сити с 300 МВт ветряной электрической установкой (пункт 1),Сычуань,компания с ограниченной ответственностью за электроснабжение,¥,China and China New Energy Tori Ltd,Участник,Чайна инжиниринг лимитед
2023-06-19,CGN-202304120006,Проект SK LOT140Ic,Устройство на Ядерном острове LOT140Ic в рамках проекта SK,Производители,SHI,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-09-13,CGN-202307040016,2023 - 2024 гг. в матрице фотоэлектрических компонентов (1 значок),2023 - 2024 гг. - матрица фотоэлектрических компонентов (1 значок),Ведущий,Новая энергетическая технология,CNY,Чайна энтропия,Приглашение,Чайна инжиниринг лимитед
2023-07-18,CGN-20230608002,"286 МВт, 2-я серия по приобретению оборудования для хранения энергии",Закупка оборудования для хранения энергии 286МВт,Инспекции,"Институт электромобиля, Китай",CNY,China 's New Energy Angeles Ltd.,Участник,Чайна инжиниринг лимитед
2023-08-01,CGN-202304110005,Проект реорганизации центра управления производством на базе Порт-оф-Спейн,Проект по перестройке производственных командных центров на базе в Порт-о-Пренсе,Китай,Шанхайская корпорация ядерных технологий,RMB,Хинси Порт оф энтерпрайз,Заявители,Чайна инжиниринг лимитед
2022-12-14,CGN-20221017003,Закупка системы безвредного обнаружения,Закупка этой системы безвредного обнаружения для определения промежуточного участника проекта,Название проекта,глубоководные технологии (Шэньчжэнь),RMB,Китайская академия ядерных исследований,Приглашение,Чайна инжиниринг лимитед
2023-05-30,20230307005,"Экологический мониторинг 2PA и PB морской ветровой электростанции в порту Гуанчжоу
Проект консультативного обслуживания
Циркуляр результатов",Экологический мониторинг и соответствующие консультационные услуги в ходе строительства морской ветряной электростанции PB в портах Хиросимы,Производитель,Hylando Tech,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-02-28,CGN-20221109001,"AN, BJ, LF Project LOT73Y Кабель и перепроверка кабельных приложений
Циркуляр результатов","EN, BJ, LF проект LOT73Y кабель и перепроверка кабельного приложения",Наименование проекта,"Шанхайская группа по тестированию RMB
Институт термотехники Сучжоу",долл.,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-04-13,CGN-202301180001-N1,Проект LOT70A,В рамках проекта AN LOT70A для определения победителей проекта.,Производитель,Heaven Electric Company,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-07-11,CGN-202304060016,Закупка шкафов для высоковольтных шкафов в 2023 году (пункт 3),Закупка шкафов для высоковольтных шкафов в 2023 году (третий пункт),Владелец,SMS,CNY,Чайна энтропия,Приглашение,Чайна инжиниринг лимитед
2023-02-06,CGN-20221125004,Проект LOT130Ia TES цементный блок,Устройство для крепления цемента в рамках проекта LOT130Ia TES,Наименование проекта LOT130Ia TES цементное оборудование,Китайский институт атомной науки,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-08-29,CGN-20230524005,2023 г. - 2-я серия мониторинговых и контрольных пунктов 4-й части проекта.,Четвертый абзац второго контрольного пакета новых энергетических ресурсов проекта 2023 года,Заявители,Китайская инженерно-строительная компания,CNY,China & China 's New Energy Ltd. Dun State Company,Приглашаем,Чайна инжиниринг лимитед
2023-07-25,CGN-20230330008,В проекте SK LOT47 представлен результат,В данном проекте SK LOT47,Производитель,Hongkong Huawei,CNY,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-07-18,CGN-20230606002,200 МВт в рамках первого этапа проекта по закупке электрической линии (пункт 1),200 МВт ветроэнергетический проект в Бен-Геонцзяне (пункт 1),Разработчик,Geelong Jiangang Aerospace Engineering Ltd.,CNY,5 новых источников энергии,Покупатель,Чайна инжиниринг лимитед
2022-11-25,CGN-20220926003,Проект по централизованному закупке оборудования для лабораторного оборудования Группы ядерных государств,Проект централизованной закупки оборудования для лабораторного оборудования для измерения ГЯО,Название проекта,Shenian Chryboda,RMB,Чайна Хисано,Заявители,Чайна инжиниринг лимитед
2023-06-13,CGN-202304060018,Закупка матрицы комплексной автоматизированной системы электроснабжения 2023 года (пункт 2),Закупка матрицы комплексной автоматизированной системы электроснабжения 2023 года (пункт 2),Партнеры,Single Automation,CNY,Чайна энтропия,Приглашение,Чайна инжиниринг лимитед
2023-08-30,CGN-20230428003,100 МВт (200 МВт) проекта по созданию энергетических мощностей EPC в округе Наньцзян,100 МВт (200 МВт) проекта по созданию энергетических мощностей EPC в округе Наньцзяна,Производитель,China Electric Co. Ltd.,CNY,China New Energy Hong Kong Company,Участник,Чайна инжиниринг лимитед
2023-07-11,CGN-20230207003,"Экспериментальный проект по накоплению тепловых электростанций с нулевым углеродом на снежном плато Ali 150 МВт в Тибете
Результаты закупок оборудования для холодных солей",Экспериментальный проект по охлаждению тепловых установок для хранения «нулевого углерода» на снежном плато Ali 150 МВт в Тибете (50 МВт фототермальная часть),Производитель,Beijing Pictures,CNY,Чайна Хиросима,Участники торгов,Чайна инжиниринг лимитед
2023-08-10,CGN-202307060012,Результаты проекта по закупке 70 МВт в рамках проекта по закупке электроэнергии,Закупка 70 МВт ветряных линий электропередачи в шести районах штата,Производитель,ZTE,CNY,Six Energy Six,Покупатель,Чайна инжиниринг лимитед
2022-12-16,CGN-20221010005,Устройства SK LOT134D охлаждают насосы,"Устройство LOT134D для охлаждения насосов в рамках проекта SK, чтобы определить, кто является кандидатом проекта",Производитель,Shanghai Cyon Co. Ltd.,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-08-01,20230515003-N1,Закупка аналитических устройств для отслеживания процесса сварки (перезакупка),Закупка аналитических устройств для отслеживания процесса сварки (перезакупка),Производитель,Halbin Vietti,CNY,Чайна атомная электроника,Заявители,Чайна инжиниринг лимитед
2023-05-11,CGN-20230215002,Объявлены результаты закупок основного оборудования для замены джилона в северном районе Гуансицина,Закупка основного оборудования для замены джилона в северном районе Хинсицина для определения проекта,Производитель,Jiangsu Huawei,CNY,Чинбэйз лимитед,Заявители,Чайна инжиниринг лимитед
2023-05-16,CGN-20230320001,В 2023 году была произведена совместная закупка оборудования для замены коробок (первый пункт: менинг контейнера в районе Цинхай),В 2023 году будет произведена совместная закупка оборудования для замены коробок (первый пункт: переменная бака в районе Цинхай),Информация о кандидатах,Интеллектуальная технологическая компания Нинпоокс,CNY,Чайна Хиросима,Участники торгов,Чайна инжиниринг лимитед
2023-02-13,CGN-202211230002,"110 кВ, 35 кВ и коробка PC.
Результаты",35-километровая линия и PC-инжиниринг,Сычуань,Сычуань,¥,Тяньцзиньнинг лтд.,Участники торгов,Чайна инжиниринг лимитед
2023-08-14,CGN-20230703002,"Закупка генераторного оборудования для ветровой электростанции мощностью 1 млн. кВт (включая башни) в Синьцзяне (2 шт)
В пункте 1) Показать результаты",Закупка генераторного оборудования (включая башни) для ветряной генераторной установки в Синьцзян-Уйгурском районе площадью 1 млн. кВт (2 шт) (заказ),Производитель,Золотой ветер,CNY,China and China New Energy Sound,Участники торгов,Чайна инжиниринг лимитед
2023-05-10,CGN-202302280007,Закупка 490 МВт комбинированного энергопроекта в Гизилу,"Закупка 490 МВт комбинированного энергопроекта (пункт 3)
202302280007), в рамках проекта были определены следующие участники:",Китайская энергетическая компания,China Energy Building Group,CNY,Белая энергетика,Покупатель,Чайна инжиниринг лимитед
2023-01-28,CGN-20220929001-N1,"80 МВт ветряной дороги, основы ветряной машины, 35кв электрической линии и проект установки коробки (переторг)","80 МВт ветроэнергетического проекта, основы ветроэнергетики, 35кв электрической линии и установки коробки (перезапрос)",Производитель,China Construction Group,CNY,China New Energy Lakes Ltd.,Покупатель,Чайна инжиниринг лимитед
2022-11-10,CGN-20220929005,100 МВт фотоэлектрического комплекса Синьхуа,100 МВт оптического композиционного проекта EPC,Производитель,China Electric Co. Ltd.,CNY,Синьхуа,Приглашение,Чайна инжиниринг лимитед
2023-04-27,CGN-202212010002,"CS-проекты
Циркуляр результатов",Основной проект CS в области гражданского строительства,Название проекта,Китайская ядерная промышленность,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-04-04,CGN-202211180004,"200 МВт электрического проекта EPC в китайской провинции Цзянсу, Китай","200 МВт для проекта EPC по производству фотоэлектрической энергии в провинции Цзянсу, Китай",Китай,Китайская электростроительная группа China Television Institute,¥,Дон Сюйп Энергия лтд.,Участники торгов,Чайна инжиниринг лимитед
2023-09-11,CGN-202306120001,Проект LOT140Cc,В данном проекте SK LOT140Cc - основной паровой трубопровод,Производитель,North Mongola,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-03-01,CGN-202301110006,Проект LOT150K,В рамках проекта LOT150K,Владельцы,Cloud Corp.,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-05-09,CGN-20230306006,"2023 Первый проект по новым источникам энергии 2023 г., в пункте 4.",Четвертое место для мониторинга и оценки первого проекта 2023 года по новым энергоресурсам Китая и Китая,Инжиниринг,Цзянсуан,¥,Qualcomm Power,Участник,Чайна инжиниринг лимитед
2023-07-18,CGN-20230406002,120 МВт в 1-й части проекта по закупке 120 МВт.,1-й пункт покупки 1-го участка в рамках проекта 120 МВт,Ведущий,Шэньчжэнь,CNY,Синьхуа,Приглашение,Чайна инжиниринг лимитед
2023-03-14,CGN-20230110003,Проект BZ LOT134Ab в экстренном порядке,Проект BZ LOT134Ab в экстренном режиме для водяных насосов для выявления участников проекта,Производитель,Shanghai Electric Cessbie Atoms Co.,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-03-09,CGN-20230110003,"Проект 2-1 (Ветряная электроэнергия 260 МВт) Дорога, платформа, ветряная база
и результаты тендера на замену коробки (пункт 2)","Проект 2-1 (Ветряная электроэнергия 260 МВт) Дорога, платформа, ветряная база и коробка
Депозитарий (пункт 2) (номер тендера: CGN-20230111003)",Производитель,China Construction Group,¥,Белая энергетика,Участники торгов,Чайна инжиниринг лимитед
2023-03-14,CGN-20230110003,Проект BZ LOT134Ab в экстренном порядке,Проект BZ LOT134Ab в экстренном режиме для водяных насосов для выявления участников проекта,Производитель,Shanghai Electric Cessbie Atoms Co.,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-03-09,CGN-20230110003,"Проект 2-1 (Ветряная электроэнергия 260 МВт) Дорога, платформа, ветряная база
и результаты тендера на замену коробки (пункт 2)","Проект 2-1 (Ветряная электроэнергия 260 МВт) Дорога, платформа, ветряная база и коробка
Депозитарий (пункт 2) (номер тендера: CGN-20230111003)",Производитель,China Construction Group,¥,Белая энергетика,Участники торгов,Чайна инжиниринг лимитед
2023-07-06,CGN-202305240014,50 МВт наземный ветровый проект по закупке линий электропередачи,Проект 50 МВт наземной ветроэнергетики в южном горном горном районе Бен-Ганси-Си доставил проект по закупке линий,Инвесторы,компания с ограниченной ответственностью за инвестиции в энергетику,¥,"Южно-Ветроэнергетическая компания, Гонконг, Китай",Участники торгов,Чайна инжиниринг лимитед
2023-08-25,CGN-202305240011,2023 г. - 10-й пункт 10-го контрольного набора новых источников энергии,10-й пункт 2-го контрольного набора новых источников энергии в рамках проекта 2023 года,Консалтинговая фирма,Сычуань,юань,China & China 's New Energy Ltd. Dun State Company,Приглашаем,Чайна инжиниринг лимитед
2023-05-06,CGN-202303020010,Проект BZ и проект AD LOT130Ae,Проект BZ и основной резервуар для дизельных двигателей LOT130Ae (запрос No CGN-202303020010) для определения проекта,Производитель,Shanghai Electric Electronics Television,CNY,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-03-29,CGN-20221216002,Интеллектуальная технология распознавания видеонаблюдения показывает результаты в проектах разработки приложений в области ядерной безопасности,Эта технология распознавания видеонаблюдения применяется для разработки проектов в области безопасности производства ядерной энергии,Производитель,East мягкая группа,Средняя цена,Lingdon Electronics Ltd.,Заявители,Чайна инжиниринг лимитед
2023-08-25,CGN-20230703005,Синьцзян-Китайская энергетическая база Синьцзян-цзян-Синьцзян-цзян-Уйгурского областного центра мониторинга и контроля за осуществлением проекта в области энергетики мощностью 1 млн кВт,Синьцзян-Китайская энергетическая база Синьцзян-цзян-Синьцзян-цзян-Уйгурского автономного района Бачжоу - 1 млн. кВт.,Инжиниринг,компания с ограниченной ответственностью,¥,China and China New Energy Sound,Участники торгов,Чайна инжиниринг лимитед
2023-03-27,CGN-202301130002,"2023 - 2025 гг. в рамках проекта Эксплуатационно-техническое обслуживание жилых помещений, Технологии и Сервис","Проект по ремонту и техническому обслуживанию жилых помещений, ремонту и отсутствию звезд на атомных электростанциях Сатурн, 2023 - 2025 годы",Тест,Шэньчжэнь,CNY,Чайна Хиросима,Заявители,Чайна инжиниринг лимитед
2023-06-30,CGN-20230410006,"Закупка шкафов небезопасного уровня для маломасштабной системы управления DCS на атомных электростанциях
Конкретная информация о результатах совместных закупок (пункт 2)","Закупка незащищенных шкафов для маломасштабной системы управления DCS на атомной электростанции (размер 02_ Небезопасная система управления DCS на АЭС)
Закупки на внебиржовую обработку (пункт 2) (номер тендера: CGN-20230410006) идентифицирует участников проекта следующим образом:",Разработчик,9 Jiang Kong Company,CNY,Хинли инжиниринг инжиниринг,Заявители,Чайна инжиниринг лимитед
2023-08-30,CGN-202307130011,Если 1 миллион ветроэнергетических проектов 35kV закупка электропроводов (пункт 2),Закупка 35кВ для строительства электропровода в рамках проекта 1 млн ветровой энергии (пункт 2),Производитель,Sandong Terek Electric Engineering Ltd.,¥,China and China New Energy Sound,Участники торгов,Чайна инжиниринг лимитед
2023-09-13,CGN-20230628001,"Сведения о результатах, достигнутых в ходе закупочных закупок системы DCS и системы DCS в рамках проекта Сухопутный проект 5","Закупка систем управления DCS-приборами и бинарной обработки (номер тендера: CGN-20230628001), в рамках проекта были отобраны следующие лица",Трейлеры,Синьцзян электрик,CNY,Хинли инжиниринг инжиниринг,Заявители,Чайна инжиниринг лимитед
2023-08-10,CGN-202306210002,"Синьцзян-Китайская энергетическая база мощностью 100 000 кВт и проект хранения 1 000 000 кВт в округе Тхоуп могут разрабатывать технические консультации, топографическую съемку и проектные закупки
Результаты",Проект по созданию новой энергетической базы на 1000000 кВт в Южном Синьцзяне и 1 млн. кВт в округе Тэоп,Информация о кандидатах,"Синьцзян, Китай",CNY,солнечная энергетика Тумушук,Покупатель,Чайна инжиниринг лимитед
2023-04-14,CGN-202207110006-N2,Японская атомная электроэнергия 1-4RAM (второй повторный тендер),целостный проект по закупке шкафов управления системой Янцзы 1-4RAM (второй повторный тендер),Производитель,Shanghai Hong Kong Electric Company,CNY,Янцзян энтерпрайз лимитед,Заявители,Чайна инжиниринг лимитед
2023-04-21,CGN-202303010007,400 МВт для геодезической съемки и предварительной оценки результатов проекта морской фотометрии,400 МВт для геологической съемки и предварительного проектирования морских фотоэлектрических проектов,Китай,Китайская электростроительная группа China Television Institute,¥,Си Цзиньпин,Участники торгов,Чайна инжиниринг лимитед
2023-06-30,CGN-202304280006,Проект LOT130Ua,Устройства для пакетов компрессорных пакетов в рамках проекта LOT130Ua,Наименование проекта,Китайско-украинская ядерная технология,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-09-11,CGN-20230706004,"В 2023 году в Китае было собрано третье совместное приобретение оборудования для компенсации за неустойчивость (первый пункт: проект ввода в эксплуатацию)
плодов",В 2023 году Китай и Китай совместно закупили третье оборудование для компенсации за неустойку (первый пункт: проект Хиннинг),Продюсер,электрическая компания,¥,Гуаньчжоу,Участники торгов,Чайна инжиниринг лимитед
2023-03-27,CGN-202212210004,Обнародование результатов закупок мобильных цементных установок,Закупка этого мобильного цементного оборудования,Проект,Китайский институт ядерных исследований,CNY,Китайская академия ядерных исследований,Приглашение,Чайна инжиниринг лимитед
2023-06-16,CGN-202303150012,Проект BJ LOT104Ja получил информацию о результатах в шкафу,"В данном проекте BJ LOT104Ja шкаф для мониторинга утечек (номер тендера: CGN-202303150012) для определения победителей проекта, например",Производитель,Шэньчжэнь,CNY,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-08-07,CGN-202304260004,Результаты работ по ремонту атомных жилых помещений в Таити,Проект по ремонту атомных общежитий в горах,Разработчик,China 's Building Group,CNY,Тайшань энтерпрайз,Заявители,Чайна инжиниринг лимитед
2023-07-18,CGN-20230106004,"Ветроэлектроэнергия 15 МВт в Аладине, Монголия, объявлены результаты закупки оборудования для ветряной электротехники","Закупка ветряного оборудования для проекта 15 МВт в Аладине, Монголия",Информация о кандидатах,Синьцзян,CNY,Аллаго,Приглашение,Чайна инжиниринг лимитед
