location,product,tender_number,tender_name,tender_company,quantity,description,requirements,stages,delivery_time,start_date,end_date,product_cluster,location_cluster,detailed_cluster
провинция Шаньдун,противопожарное оборудование завода,CGN-202306080012,Утвержден проект проекта SK LOT49A по противопожарному противопожарному оборудованию завода (номер тендера: CGN-202306080012),Чайна Хинси,,"Закупка оборудования для пожаротушения на заводе LOT49A по проекту SK 1, блоку 2 и необходимой резервной документации","Оборудование, расходные материалы, специальные инструменты, упаковка, транспорт, услуги по поддержке на местах и профессиональная подготовка. Конкретный объем торгов и требования к тендерной документации квази.",,30.06.2025,,,0,0,1
"префектура Аньхой, муниципалитет Тяньаньмэнь",первый слияние кабелей (первый пункт: региональный кабель Аньхой),CGN-20230105007,,,,"В 2023 году в Китае впервые были приобретены кабели, разделенные на три сегмента.",Принцип выдачи подряда: в рамках этого проекта был предоставлен первый участник конкурса с общей оценкой.,3,Срок поставки зависит от тендерной технической документации.,15.04.2023,20.03.2023,2,25,0
"Вэньчжоу, Чжэцзян",Проект по созданию и техническому обслуживанию подсистемы управления измерениями проекта CS (перезакупка),CGN-202302160002-N1,Глава I. Объявление конкурса на проект создания и обслуживания подсистемы контроля за измерениями проекта CS (перезакупка),"компании, ограниченного числа ядерных работ торгующей",,проект создания и технического обслуживания подсистемы управления измерениями проекта CS.,"создание и техническое обслуживание подсистемы контроля измерений проекта CS (подробнее см. в главе V ""Технические спецификации"").",предполагаемый срок службы в период с 1 июня 2023 года по 31 мая 2028 года,фактическое время начала работы с заказчиком В зависимости от формы сообщения или распоряжения о начале работ.,1 июня 2023 года,31 мая 2028 года,1,26,1
Гуандун,Проект Интегрированная стадия предварительного строительства и установки ветряных установок,CGN-202211080004,,,,"проект по созданию морской ветряной электростанции << Чжэнчжоу-2 >>, расположенной в южном районе портового города Уидун, с планируемой площадью объекта Около 95.00km2, площадь окружающего ветряного коммутатора составляет около 73,72km2, глубина 31-40m, а в последнее время - около 22,00km.","сбор, транспортировка, строительство и более 25 12 МВт ветряных установок установки и т.д.",,274,,,0,2,0
Гуандун,Наземный проект 5,CGN-20230227001,,,,<< Сухой проект 5 >> и << 6 >> 500kV GIS,,,30.11.2024,,,0,2,1
"Янцзы, провинция Гуандун",экспериментальное оборудование для оси проекта,CGN-202301120004-N1,,Чайна Хино,,"Проект находится в городе Янцзы провинции Гуандун. Закупка оборудования, необходимого для исследования материалов проекта.","Оборудование, запчасти (включая стандартные элементы, подшипники и т.д.) в тепловом помещении, изготовлено из кислотно-щелочных материалов, запечатанных частей, электронных компонентов
а) оборудование и кабельные трубы отбирают в первую очередь излучаемые материалы;
2) механические действия, такие как сборка проб в тепловом помещении, охлаждающая печь и т.д.;
3) испытательный самолет является стержневой или одноколонной структурой, которая не может быть основой;
4) в ходе испытания обе стороны трубы должны быть фиксированы с помощью маски, чтобы избежать проволочек;
5) для того, чтобы облегчить очистку и чистку частей и частей оборудования, необходимо отбрасывать на поверхность до R1.6;
6) Компьютеры и системы управления испытательным хостом должны быть оборудованы передней зоной тепловых камер, чтобы следить за тепловыми комнатами через окна;
7) Экспериментальное программное обеспечение должно поддерживать автоматическое хранение данных испытаний, сбор данных о температуре и деформации в режиме реального времени, чтобы обеспечить непрерывное тестирование в течение длительного времени
При тестировании частота взятия должна превышать 0,7 кГц.",1,до 31.08.2023,после подписания контракта,31.10.2023,0,1,1
"Синьцзян-Уйгурский автономный район, Тэгу, округ Лоуп",фотоэлектрические установки на базе экологически чистой энергетики,CGN-20230705008,,Мушук лимитед,,"Проект по производству фотоэлектрической энергии 500 МВт находится в провинции Синьцзян и в округе Лоуп в районе Тяньцзинь. Набережная тары
В связи с тем, что вокруг высоты вокруг холма, предлагается установить фотоэлектрические компоненты 1165944 блоков с максимальной мощностью 550 Вт.","Закупка 1 млн. кВт фотоэлектрических установок на базе экологически чистой энергетики в Синьцзяне (1 шт)
Закупка 1 млн. кВт фотоэлектрических установок на базе экологически чистой энергетики в Синьцзяне (2 шт)",2,10.09.2023 - 20.10.2023,10.09.2023,20.10.2023,2,14,0
"Чунцин, округ Чунцин",оборудование для компенсации за неустойчивость в Чжунцине,CGN-20230314009,,,,"Этот тендерный проект разделен на марку: в 2023 году в Китае впервые была произведена совместная закупка оборудования для компенсации за неустойчивость (первый пункт: монументальное озеро Голубого моря).
В 2023 году Китай и Китай впервые закупили оборудование для компенсации за неустойку (пункт 2: Компенсация за неудобство в Чжунцине) оборудование). В рамках этого проекта был предоставлен первый участник конкурса, получивший общую оценку.
В 2023 году Китай и Китай впервые совместили закупки оборудования для компенсации за неустойчивость (пункт 2: «Чжунцинский город» оборудования). Оборудование для доставки включает в себя динамические нефункциональные компенсационные устройства и их устройства для защиты от датчиков (без шкафов с высоким давлением), резервные запасные части, специальные инструменты и приложения для установки (установка опор, изоляция, винты, винты и т.д.). шкаф с высоким давлением был предоставлен покупателем, Устройства динамической компенсационной защиты с самопроизвольной защитой через интегрированное детекторное охранное устройство, расположенное в шкафах с высоким давлением (электрический) Второй изготовитель оборудования обеспечивает защиту от перебоев. Продавец включает в себя выбор всех элементов оборудования в рамках поставки. Конструкция, интеграция, техническая информация, производство, проверка качества, упаковка, отправка, поставка на месте, установка на месте, помощь в модуле эксперименты и испытания, приемы, обучение, участие в испытаниях и послепродажное обслуживание.",Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.,,30,31.05.2023,30.06.2023,0,16,0
провинция Шаньдун,Электрогенератор LOT40,CGN-20230207005,Проект CW Электрогенератор LOT40 (заявочный номер проекта: CGN-20230207005),Чайна Хинон инжиниринг лтд.,,"Проект: проект CW, расположенный в провинции Шаньдун.","В рамках проекта CW в общей сложности 2 генератора и
Соответствующий дизайн, производство и соответствующие документы и услуги. Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.",,,,,1,0,1
Гуандун,Услуги по мониторингу окружающей среды в рамках проекта &lt; &lt; Тайпин &gt; &gt; (2023 - 2025),CGN-202303310006,Объявление тендера на услуги по мониторингу окружающей среды в рамках проекта &lt; &lt; Тайпин &gt; &gt; (2023 - 2025),,,"Проект находится в городе Хунцзе, округ Уидон, провинция Гуандун, примерно в 76 км к северо-западу от города Гуйчжоу, примерно в 76 км от округа Уидон 43km, примерно в 6,7 км от города Хуан Ява, проект в основном направлен на работу инженерных служб по экологическому мониторингу и связанной с этим работе.","1) Ежедневное наблюдение за состоянием окружающей среды во время строительства атомных электроснабжений в Тяньцзине, регулярная экологическая оценка.
2) Экологические факторы, влияющие на строительную площадку проекта Тяньцзинь (включая, но не ограничиваясь, шум, высокую температуру, вибрацию)
3) Проект в рамках компании <<Хин ядерной группы Китая>>, <<Чайна Хинон инжиниринг лтд.>> и <<Чайна Хино>>
4) Сбор, подготовка и систематизация документов по рациональному природопользованию, информации, документации и т.д. в рамках проекта <<Тэпин>>
5) Интерфейс <<Тайпинс>> для мониторинга окружающей среды, тестирования и других связанных с окружающей средой подрядчиков
6) Завершение сбора и представления доказательств, необходимых для проведения оценки и проверки состояния окружающей среды
7) Другие временные работы, переданные участникам торгов, связанные с окружающей средой атомного проекта в Тэпине.",,,01.06.2023,31.05.2025,3,2,1
Пекин,шкафы безопасности и внутренние приложения для системы DCS-контроля на атомной электростанции,CGN-202304100011,,,,"завершение производства, производства и производства систем DCS АЭС, таких как блок 2, <<Сухопутный 5 & 6>>, блок 1 & 2 проекта <<Скайп>>
Компания <<Хинли инжиниринг инжиниринг>> в Пекине должна закупить в общей сложности около 900 шкафов и шкафов безопасности для пяти вышеуказанных блоков (в двух сегментах)
В приложении к подразделу фактический объем заказов зависит от фактического количества шкафов для конкретного проектного блока.",,данный тендерный проект разделен на два сегмента.,три месяца после подтверждения начала работ,,,1,6,1
"префектура Сычуань, муниципалитет Гуаньюань, округ Шин","электрические дороги, подвесная платформа, фундаментальная инженерия ветряной машины",CGN-202304240016,,,,"Текущий тендер будет посвящен теме «Храм Сюси, Хинпхендо, чайный фонтан и топ-электрический проект, платформа для подвески, ветряная база». Второй этап». 100 МВт - проект 100 МВт, расположенный в Белом Драконе, Цзиньцзяне, Пуэне, Ван-Ривере, Янге, Ове. В джунглях, в пожилом возрасте, центр находится в точке с координатами 31°4'28.76'N, 105°32'34.86'E, примерно в 60 км от прямой линии в районе феникс. Место состоит из двух последовательных горных хребтов с высотой от 650 м до 900 м и мощностью 100 МВт.","Проект охватывает следующие области: 1) 3,2 km для проекта строительства 100 МВт ветряной электростанции на площадке с новой энергетической мечкой на площадке 23,3 дюйма Ри; (2) 22 платформы по проектированию 100 МВт ветряной электростанции в китайской площадке с новым энергетическим мечом; 3) Контенты, сосуды, стенки (включая защитные ноги на песчаном валах), дорожные постройки, амфибии и траншеи Промежуточные автодороги, неисправные платформы, заполнение каналов, дорожные знаки (при необходимости), дорожные заграждения (при необходимости), защитные заграждения, брошенные земли - вспомогательные работы; 4) 22 ветряных генератора мощностью 4550 кВт, строительство коробки, включая раскопку и заполнение или замену грунта, a) все строительные работы, такие, как погрузка и разгрузка грунта и т.д.; фундамент для ветровой машины, матрицы и фундаментальные работы; 5) взаимодействие на базе ветра; 6) резервирование, предварительное захоронение и т.д. с установкой ветряной машины; 7) создание и установка наблюдательных пунктов для наблюдения за осаждением ветровой машины; 8) приемка, временное хранение, перегрузка и установка компонентов; 9) фонограммы для защиты от разложения воды; 10) сборочные компоненты обеспечиваются строительными подразделениями (за исключением других компонентов, таких как изготовление и установка сборочных конструкций); 11) Другие инженерно-строительные подразделения, которые должны включаться в этапы строительства ветроэлектроэнергии, строительства платформ для подвески, капитального строительства ветроустановок и т.д. - осуществление проектов, предоставление технических услуг, а также координация и сопровождение всех элементов работы, включенных в план строительства; (12) Ветряная дорожка должна отвечать условиям перевозки таких крупных единиц оборудования, как ветряные машины, башни и т.д., а также должна быть полностью построена в тех местах, где не соблюдаются условия перевозки а) ремонт; и . 13) Оборудование, обеспечивающее транспортировку в ветряных электростанций (включая подъездные дороги и внутренние дороги) ветряных машин, башни, основных переменных, коробок и т.д.","Строительство дорог в ветряной электростанции, строительство платформы",127,25.05.2023,30.08.2023,2,24,0
Гуандун,подводный кабель и повязка,CGN-20230217003,,,,"проект строительства двух морских ветряных электростанций в порту Гуаньчжоу расположен в районе портового города Уидон в городе Уйдун. PA
В графическом плане установленная мощность составляет 450 МВт, предлагается установить 10 8,5 МВт, 9 14 МВт и 20 12 МВт. PB
На 300 МВт предлагается установить 25 12 МВт. PA и PB совместно создали 750 МВт 220 кВ, а также расширили штат Уэйчжоу
1) Наземный центр управления, совместно используемый в рамках проекта 2PB в Уичжоу. Электроэнергия из PA и PB-сетей проходит через 12 раундов 66 кВ
Подводный кабель подсоединен к подъемным станциям, после подъема напряжения переправляется через 3 дна 220 кВ к центру управления на суше, в результате чего уже построено 220 кВ.
Линии доступа к сети.","данный тендерный проект разделен на 1 сегмент, который включает в себя проект морской ветроэнергетики 2PB порта Гуйчжоу
Подводный кабель 66 кВ и приложения, включая проект оборудования, закупку материалов, производство, испытание, упаковку, транспортировку, повязку, текст
услуги и т.д. Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.",1,30.05.2023 - 30.06.2023,30.05.2023,30.06.2023,2,2,0
"префектура Аньхой, муниципалитет Тяньаньмэнь",оборудование для замены коробок (третий пункт: переменная емкости для эмблемы),CGN-202301050011,,,,"данный тендерный проект разделен на три пункта, а именно:
1-й пункт: изменение регионального ящика;
2-й пункт: изменение регионального ящика в Гирине;
Пункт 3: Изменить региональный ящик.","Закупка 35-километровой (европейской) резервной электростанции и оборудования для ее использования в рамках проекта электрической электростанции <<Лю>> в префектуре Хиросима.
Закупка 35 кВ (европейского) оборудования для проектного строительства ветряной электростанции <<Чжунцзян>>.",3,Срок поставки зависит от тендерной технической документации.,30.04.2023,Дата окончательной поставки была подтверждена покупателем в письменном виде до производства оборудования.,0,25,1
"провинция Ганьсу, муниципалитет Кананг, муниципалитет ",120 МВт фотоэлектрического проекта EPC по генеральному контракту,CGN-202302020003,,Новая энергетическая компания,,"120 мегаватт фотоэлектрического проекта компании California Solar Energy Limited составляет 120 МВт, а фотоэлектрические установки - 120 МВт. 2001 год 146.016 МВт на линейной стороне проекта с соотношением 1.22:1, в рамках проекта по интеграции мультиэнергии, фотоэлектрические компоненты с фиксированной установкой Устройства для обмена боковыми коммутаторами емкостью 20% × электрической химии для хранения энергии 24 МВт/48 МВт. 2H 120-мегаваттная фотоэлектрическая станция компании << Карен >> расположена в юго-западной части города Кананг, провинция Ганьсу, в центре 1# координаты 39.7649°N северной широты, 98.1348°E восточной долготы, 2# Центр объекта координат 39.7675N северной широты, 98.1072°E восточной долготы, Около 3634 акров, в 33 км от винного города, в 15 км от карцинома, недалеко от G312 национальных дорог, удобный для движения. Оптический компонент проекта предполагает использование двухфазных однокристаллических фотоволновых компонентов 540Wp, каждая из 26 блоков соединена в одну серию с фиксированной установкой. Используйте метод установки 2×26, в общей сложности 5200 единиц. В этом фотовольтном поле проводится различие между двумя участками, блоком 1 и блоком 2. В соответствии с емкостью проекта предварительно планируется подключение к 4-35 кВ. 330 кВ-литровая станция 35 кВ, блок 1 2, блок 2 2, линия длиной около 13,5 км (начала начала блока 2) Расчет - это прямой путь для доставки работ). Станция хранения энергии была построена недалеко от 330 кВ-линии, и она может вернуться к 35 кВ для 330 кВ-линия переключается 1. шкаф. В общей сложности 5 раз 35 кВ отправляется в шкаф 35 кВ на 330 кВ.","В рамках настоящего инженерно-технического проекта осуществляется проект топографической съемки, связанной с завершением проекта, приобретением оборудования, закупкой материалов, транспортировкой и управлением; Подготовка и строительство инженерно-строительных работ; установка и отладка оборудования; все работы по приемке и приемке; проектирование и закупка услуг в период передачи производства и гарантийного срока и строительные работы, строительство фотоэлектрической зоны, установка фотоэлектрической зоны, эвакуация инженерных и фотоэлектрических установок и электросетей Все работы (закрытия).","Работы планируется начать 20 марта 2023 года, а к 30 июня 2023 года полностью вырабатывать электроэнергию.","Работы планируется начать 20 марта 2023 года, а к 30 июня 2023 года полностью вырабатывать электроэнергию.",20.03.2023,30.06.2023,2,5,0
"Хубэй, Хуанган, округ Чун",энергоблоков и их вспомогательного оборудования,CGN-202303210006-N1,,Инк.,,"Хубэйский кипит гидроэнергетическую станцию, расположенную в префектуре Тупи в префектуре Хуанган в провинции Хубэй, округ Хубэй, в районе Чунга в районе Дупи. Станция мощностью 298 МВт, установка двух одноколесных комбинатов мощностью 149 МВт в одноколесном режиме, 170 м на водяной щит, номинальная скорость поворота 300 r/min. Электростанции строятся главным образом для систем электропередачи и новых водохранилищ. Постройте водохранилище в Вайцзы, чтобы в водохранилище было нормальным. 263.00m, Мертвая вода 238.00m, регулирующая емкость (по 6h) 4,85 млн м3, общая емкость 5,1 млн м3. Дамба использует бетонные панели дамбы. Для того, чтобы использовать существующие водохранилища по реке, хранилища перехватывает водные потоки, общая сумма которых составляет 23,24 млн м3.","Закупки в рамках данной тендерной заявки включают: 1) два водяных насоса и вспомогательного оборудования; 2) два комплекта электродвигателей и вспомогательного оборудования; 3) системы машинного оборудования (системы дренажного водоснабжения, системы сжатого воздуха, системы обработки масел на заводе, системы водяного измерения); 4) устройства для статического ввода; 5) Электроэлектрические электрические электрические распределительные устройства (закрытые линии и сопутствующие устройства, электродинамические переключатели, калия ложные замки; 6) система мониторинга состояния блока; 7) системы защиты реле; 8) компьютерная система контроля; 9) установка технических средств, запасных частей; 10) кольцевая обработка; 11) проектирование, изготовление, испытание и испытание продукции, упаковка, перевозка, страхование, поставка, технические документы и технические услуги; Обучение и установка наставничества, испытания приемки и т.д.",11,март 2024 года - сентябрь 2025 года,март 2024 года,сентябрь 2025 года,0,4,0
"Немонгольский автономный район, УНИТА, правый флаг Корнея",оборудование для камер УНИТА,CGN-202211140007,,Новая энергетическая компания Corp.,,"Закупка оборудования для фотоаппаратов УНИТА в Китае. Разбивка пунктов: 2 пунктов
1-й пункт: оборудование для станций C и D;
Второй пункт: оборудование для станций F и G.","Участники торгов предоставили 4 камеры для вызова (2 фотоэлектрические станции F и 2 электрические станции G), включая мощную камеру,
Конструкция системы охлаждения, системы онлайнового мониторинга, смазочных материалов и оборудования для очистки масла, а также отбор всех компонентов оборудования в рамках поставок
Типы, производство, разработка программного обеспечения, предоставление соответствующей графической и технической информации, испытания (включая испытания на заводе, испытания на заводе), пакеты
Оборудование, транспортировка оборудования, проверка ящиков на месте, руководство по установке на месте, отладке и испытанию на месте, участие в вводе в эксплуатацию, приемка системы и эксплуатация
Профессиональная подготовка, послепродажное обслуживание и т.д.",2,до 10 июня 2023 года,до 10 июня 2023 года,до 10 июня 2023 года,0,27,1
"Аньхой, Сечжоу, Шоу",оборудования для ветроэнергетических установок,CGN-20221220003,,Хинго,,"150 МВт ветровой электроэнергетики в префектуре Чжунцзяо, префектура Аньхой, расположен в Нью-Йорке, Чжунцзяо, Чжунцзяне, Янцзе, Хуанъянге
В равнинах, в основном в деревнях с сельскохозяйственными угодьями, земные равнины не имеют большого значения.","В рамках этого тендера были закуплены ветряное оборудование и связанные с ним услуги, специализированные инструменты и запасные части и расходные материалы для гарантийного периода.
Ключевые компоненты, используемые в торгах, должны быть полностью совместимыми с сертификацией модели, эквивалентными или более совершенными. Участники торгов должны обеспечить наличие ключевых компонентов
Без дефектов или потенциальных дефектов при отборе, выборе и изготовлении не следует менять по вышеуказанным причинам в течение срока эксплуатации. После замены основных компонентов
Любые отклонения или улучшения должны быть проиллюстрированы и сопровождаться документами, подтверждающими подлинное учреждение.","Вместимость проекта составляет 150 МВт, а общая емкость опциона не должна превышать 50% емкости 1 единицы. (Компания имеет большую емкость)
В зависимости от группы).
Количество 24 машин в рамках проекта не должно превышать количество баллов, а емкость 5000 кВт и выше.","Ожидается, что поставки будут завершены к сентябрю 2023 года.",Окончательный срок поставки зависит от письменного официального уведомления участника торгов (за два месяца до уведомления участника торгов).,"Участник конкурса должен быть удовлетворен
Предварительно составленный срок поставки, и предлагаются конкретные программы для осуществления поставок.",0,18,0
"провинция Цинхай, тибетский автономный район Хайси-Монголия, муниципалитет Деринха",вторая система камер для розливых озер,CGN-20230420006,,Чайна-Хеллоу,,"Проект: 500 000 кВт ветровой электроэнергией компании <<Чайна-Холодное озеро>>, расположенной к северо-западу от города холодного озера Хайси в провинции Цинхай около 90km, ветряная электрическая станция имеет две зоны с координатами 92°16'51′ ~ 92°31′ 59′ восточной долготы, 38°47'38 северной широты. ' ~ 38° 56' 27'; площадь около 8767,99 га, высота 2800-3200 м. Географические координаты восточного района 92°36′′′ ~92 ° 48 ' 11', 38 ° 48 ' 31' северной широты ~ 38 ° 58 ' 13'; площадью около 12 31 га, высотой 2800-3500 м. Раздел ветровая станция находится примерно в 40 км от провинции S316, что облегчает движение.","Контент и сфера охвата тендера: проектирование и использование магнитной системы камеры для вызова 1 (-12Mvar + 12Mvar) Выбор, изготовление, разработка программного обеспечения, предоставление соответствующей картограммной и технической информации, испытания (включая эксперименты на заводе, испытания на заводе, упаковка, транспортировка оборудования, проверка на месте, руководство по установке, отладке и испытанию на месте, участие в совместных испытаниях эксплуатационные, системные приемы и подготовка операторов и технического персонала, послепродажное обслуживание и т.д. Участники торгов должны гарантировать оборудование, документацию и техническую одежду производится в соответствии с графиком и содержанием настоящего тендерного документа.",Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.,"Дата поставки: 15 сентября 2023 года; дата окончательной поставки была подтверждена покупателем в письменном виде до производства оборудования без покупателя Было подтверждено, что продавец не может начать производство самостоятельно; в частности, такие предположительные закладки, как винты, доставляются до 30 дней.",15.09.2023,,0,10,0
"Гуанси-Шань, Стохэ, Оливье",строительство твердыни на дорогах в Хироси,CGN-20221027001,Открытое объявление о тендере на строительство твердыни на дорогах в Хироси (Контингент: CGN-20221027001),Синьцзян энтерпрайз,,"Установка 16 генераторов, 6 из которых WD-156/3,0 МВт и 10 блоков WD-156/3,3 МВт, общая мощность 51 МВт. Через электрическую сеть 110 кВ добавляйте село в сетку. Все ветровые электростанции уже созданы. Ветряная электрическая зона с высоким дождем, поверхностные воды в горах и плохие геологические условия поверхности гор (Большинство из глины и глины) были построены дорожные дорожные основы, скальные дорожки и склоны, которые в большинстве случаев были покрыты дождем. Чтобы ветряная станция была заполнена ежедневные рейды и требования к водоснабжению требуют тщательной обработки всех существующих дорог, а также всех ветряных платформ. 21,183 км (включая: 16 платформ для вентиляции длиной около 1,6 км в соответствии с дорожным дизайном) На графике дороги находятся только на краю платформы, но платформа находится на значительном расстоянии от ветряной машины, которая обычно перевозится в башни для ремонта транспортных средств. Таким образом, ветряная платформа должна крепить кольцевую дорогу, обеспечивающую прохождение транспортных средств, длина 16 ветряных платформ составляет около 1,6 км; емкость в трех континентах. 16 # Ремонт дорог для бедных: 15500m3. Ширина жесткости: 3,5 м, 2,5 м и 2,5 м ветряной платформы, 2,5 м, Твердая толщина: 20 см основной дороги, 18 см (более подробно см. список работ).","В рамках конкурса были проведены ремонтные работы на участке ветряной электростанции, а также ремонтные работы на водоемах в трех континентах до 16 # дорог. Содержание работы включает, но не ограничивается И, следовательно, ровная и артериальная нагрузка на низовых дорожных площадях, свалки и ремонтные работы, строительство и сохранение бетонных бетонных бетонных щитов, резистентность поверхности бетона Конструкция, трещины и испытания соответствующих комплектов.",Срок работы составляет 90 календарных дней.,90,28.11.2022,26.02.2023,0,17,0
Гуандун,"клапаны с низким и средним давлением, клапаны и клапаны отвода",CGN-20230310002,,,,"данный тендерный проект разделен на 1 секцию, которая включает в себя: обычные клапаны безопасности на острове LOT45E с низким и средним давлением клапаны, клапаны и клапаны и установка и отладка необходимых специализированных инструментов, запасных частей и расходных материалов для резервной продукции, упаковки, транспорта и услуг на местах, Профессиональная подготовка и т.д., а также документация, необходимая для исполнения контракта после поставки оборудования.",Конкретная сфера охвата и требования к тендерной документации Квази.,1,31.05.2025,,,0,2,1
